ticker
AAPL
ABBV
ABNB
ABT
ACE
ACN
ADBE
ADI
ADM
ADP
ADSK
AEP
AET
AFL
AGN
AIG
AJG
ALGN
ALXN
AMAT
AMD
AMGN
AMT
AMZN
ANET
ANTM
AON
APC
APD
APH
APO
ATVI
AVGO
AXP
AZO
BA
BAC
BAX
BBT
BDX
BIIB
BK
BKNG
BLK
BMY
BRCM
BRK
BSX
BX
BXLT
C
CARR
CAT
CB
CCI
CCL
CDNS
CEG
CELG
CHTR
CI
CL
CMCSA
CME
CMG
CNC
COF
COIN
COP
COST
CRM
CRWD
CSCO
CSX
CTAS
CTSH
CVS
CVX
D
DAL
DASH
DD
DE
DG
DHR
DIS
DLR
DOW
DUK
DWDP
DXCM
EA
EBAY
ECL
EL
ELV
EMC
EMR
EOG
EQIX
EQR
ESRX
ETN
EW
EXC
F
FB
FCX
FDX
FI
FIS
FISV
FOX
FOXA
FTNT
GD
GE
GEV
GILD
GIS
GM
GOOG
GOOGL
GPN
GS
HAL
HCA
HD
HON
HPE
HPQ
HUM
HWM
IBM
ICE
IDXX
ILMN
INTC
INTU
ISRG
ITW
JCI
JNJ
JPM
KDP
KHC
KKR
KLAC
KMB
KMI
KO
KR
LHX
LIN
LLY
LMT
LOW
LRCX
LULU
LUV
LVS
LYB
MA
MAR
MCD
MCK
MCO
MDLZ
MDT
MET
META
MMC
MMM
MNST
MO
MON
MPC
MRK
MRNA
MS
MSFT
MSI
MU
NEE
NEM
NFLX
NKE
NOC
NOW
NSC
NVDA
NXPI
ORCL
ORLY
OXY
PANW
PCAR
PCG
PCLN
PCP
PEP
PFE
PG
PGR
PH
PLD
PLTR
PM
PNC
PRU
PSA
PSX
PX
PXD
PYPL
QCOM
RAI
RCL
REGN
ROP
ROST
RSG
RTN
RTX
SBUX
SCHW
SHW
SLB
SNPS
SO
SPG
SPGI
SRE
STZ
SYK
T
TDG
TFC
TFCFA
TGT
TJX
TMO
TMUS
TRV
TSLA
TT
TWC
TWTR
TWX
TXN
UBER
UNH
UNP
UPS
USB
UTX
V
VFC
VLO
VRTX
VZ
WBA
WELL
WFC
WM
WMB
WMT
XOM
YHOO
YUM
ZTS
