quarter,ticker,DlyCap,weight
2015Q3,AAPL,629010236.6,0.048789464175522955
2015Q3,MSFT,353460360.0,0.027416313071314882
2015Q3,XOM,309998533.15,0.024045176767456423
2015Q3,WFC,263597984.65,0.02044609718649088
2015Q3,JNJ,258496045.1,0.020050362932234694
2015Q3,GE,254631939.38,0.019750641820197753
2015Q3,AMZN,240076410.0,0.01862163558481452
2015Q3,JPM,225471144.99,0.017488771582741754
2015Q3,GOOG,210202417.38,0.016304445803306714
2015Q3,WMT,207873279.28,0.016123785150621565
2015Q3,FB,203084100.0,0.01575231028850369
2015Q3,T,200399580.0,0.015544084277625962
2015Q3,PG,195183723.24,0.015139513983329612
2015Q3,PFE,193716400.68,0.01502570044372488
2015Q3,GOOGL,185902281.18,0.014419594722029052
2015Q3,VZ,176898215.41,0.01372119027841611
2015Q3,KO,174522160.48,0.013536890500541382
2015Q3,DIS,172499087.6,0.01337996993540597
2015Q3,BRK,162656526.4,0.012616527213617374
2015Q3,BAC,162630583.6,0.012614514948573716
2015Q3,ORCL,154038363.36,0.011948055490213159
2015Q3,C,149318410.45,0.011581950202869411
2015Q3,CVX,148332104.64,0.011505446945556436
2015Q3,HD,148301055.47,0.011503038602608661
2015Q3,INTC,142562200.0,0.01105790167625984
2015Q3,GILD,142277310.0,0.011035804054249589
2015Q3,IBM,142002464.1,0.011014485507409522
2015Q3,MRK,139113602.65,0.010790409659320495
2015Q3,PEP,137381049.3,0.010656023373242037
2015Q3,V,135933618.42,0.010543752740814769
2015Q3,CSCO,132858941.25,0.010305264012160885
2015Q3,PM,122896925.38,0.009532555734736714
2015Q3,CMCSA,119474051.04,0.009267058934730031
2015Q3,UNH,110622843.63,0.008580511019111708
2015Q3,CVS,107525609.28,0.008340272632564401
2015Q3,AGN,106994201.16,0.008299053720812716
2015Q3,MO,106661808.0,0.008273271494660613
2015Q3,AMGN,104417768.0,0.008099211514682791
2015Q3,MA,99932626.08,0.007751319448234383
2015Q3,BMY,98716177.6,0.0076569650703833415
2015Q3,MDT,94627388.1,0.007339816259086072
2015Q3,MCD,92796539.3,0.007197805641864267
2015Q3,LLY,92773796.29,0.007196041569982646
2015Q3,WBA,90478781.4,0.007018027699551548
2015Q3,ABBV,90063567.16,0.006985821418780747
2015Q3,BA,88979870.25,0.006901763976642182
2015Q3,MMM,88570098.65,0.0068699798567105055
2015Q3,SLB,87273465.51,0.006769405919353337
2015Q3,KHC,85625679.76,0.006641594670599866
2015Q3,CELG,85151424.0,0.00660480880756268
2015Q3,SBUX,84413084.0,0.006547539130722328
2015Q3,NKE,83364560.22,0.006466209908358614
2015Q3,QCOM,81884520.0,0.00635140991769019
2015Q3,UTX,79254316.02,0.006147396953528951
2015Q3,UNP,76712649.72,0.0059502514546571385
2015Q3,GS,75215664.96,0.005834137153061488
2015Q3,AXP,74225108.79,0.005757304214648133
2015Q3,HON,74025043.78,0.00574178608144424
2015Q3,AIG,73518659.34,0.005702508142776712
2015Q3,USB,72218774.04,0.005601681950154716
2015Q3,UPS,68929833.12,0.005346573756591573
2015Q3,MDLZ,66623167.17,0.005167656166409347
2015Q3,BIIB,65045324.43,0.005045270078936507
2015Q3,LMT,64377010.85,0.0049934320331112515
2015Q3,LOW,63767058.36,0.004946120791690946
2015Q3,COST,63314720.64,0.004911035011363317
2015Q3,RAI,63266301.27,0.004907279340977433
2015Q3,PCLN,62064397.94,0.0048140531642804595
2015Q3,ACN,61609020.0,0.004778731567910189
2015Q3,MS,61531627.5,0.004772728583560341
2015Q3,KMI,60672816.16,0.004706114492614936
2015Q3,ABT,59945537.02,0.0046497027563951335
2015Q3,COP,59156693.64,0.004588515761988422
2015Q3,DHR,58240012.48,0.004517412972218343
2015Q3,CL,57122376.72,0.004430723047792711
2015Q3,SPG,56844805.2,0.004409193087001632
2015Q3,TWX,56071193.75,0.004349187564151053
2015Q3,ESRX,54751304.96,0.004246809791758248
2015Q3,F,52882100.02,0.004101824063147865
2015Q3,MET,52660939.15,0.0040846696199988665
2015Q3,TWC,50757046.38,0.003936993314128152
2015Q3,OXY,50535358.65,0.003919798004844392
2015Q3,TXN,50492077.6,0.003916440890578863
2015Q3,DUK,49518460.2,0.0038409218155400675
2015Q3,TGT,49432303.8,0.0038342390553134393
2015Q3,DOW,49119382.4,0.003809967165053626
2015Q3,TMO,48727112.64,0.0037795405832763388
2015Q3,BLK,48676800.92,0.0037756381319047723
2015Q3,TJX,48163576.82,0.003735829671908455
2015Q3,GM,47551589.94,0.0036883606321054707
2015Q3,REGN,47507539.04,0.003684943804075665
2015Q3,EMC,46501380.16,0.0036069006343873765
2015Q3,HPQ,46052542.25,0.003572086318409102
2015Q3,PNC,45813120.0,0.003553515423041263
2015Q3,CRM,45515253.08,0.003530411240347882
2015Q3,NEE,44917970.55,0.0034840827501191416
2015Q3,GD,44520189.65,0.0034532286942691747
2015Q3,NFLX,44132084.88,0.003423125171829514
2015Q3,DD,43613191.6,0.0033828769793162673
2015Q3,BK,43320179.7,0.0033601493784503013
2015Q3,MCK,43001527.09,0.0033354329442884857
2015Q3,D,41828382.36,0.003244437441438765
2015Q3,PSX,41339920.0,0.0032065496370317493
2015Q3,ADBE,41011253.78,0.003181056492670425
2015Q3,FDX,40656928.42,0.0031535730854819464
2015Q3,SO,40599266.7,0.0031491005280281192
2015Q3,EOG,39979648.8,0.0031010395846991674
2015Q3,MON,39925038.9,0.0030968037430472405
2015Q3,KMB,39720546.0,0.0030809421585480307
2015Q3,CAT,39388092.88,0.0030551552815713443
2015Q3,COF,39336951.08,0.003051188444668245
2015Q3,LYB,38835340.0,0.00301228075383321
2015Q3,AET,38149954.08,0.002959118484215787
2015Q3,CTSH,38066880.0,0.002952674805537388
2015Q3,PYPL,37899840.0,0.002939718272206656
2015Q3,SCHW,37574221.44,0.0029144615209749456
2015Q3,AMT,37240086.42,0.002888544186662238
2015Q3,ADP,37238824.0,0.002888446266482596
2015Q3,ANTM,36622180.0,0.0028406159950554186
2015Q3,PSA,36605006.21,0.0028392839022480074
2015Q3,DAL,35689508.26,0.0027682728886980097
2015Q3,SYK,35434107.8,0.0027484626362274983
2015Q3,ALXN,35341794.15,0.0027413022861131156
2015Q3,KR,35111764.38,0.0027234599227147346
2015Q3,CI,34766974.9,0.0026967161703817266
2015Q3,AVGO,34502634.99,0.0026762125254190974
2015Q3,YUM,34474919.7,0.0026740627763849984
2015Q3,PRU,34370710.0,0.002665979703759067
2015Q3,GIS,33548227.44,0.002602183471104699
2015Q3,ACE,33494155.2,0.0025979893332944305
2015Q3,RTN,33165654.48,0.0025725090260156386
2015Q3,ECL,32377494.24,0.0025113750196727415
2015Q3,HCA,32119253.12,0.0024913444301214636
2015Q3,FOXA,31769786.38,0.0024642378839960315
2015Q3,PCP,31584665.58,0.002449878905216028
2015Q3,CME,31228896.64,0.002422283526090375
2015Q3,NOC,31097868.35,0.002412120257372381
2015Q3,TRV,30974333.18,0.0024025381959043336
2015Q3,APC,30678844.68,0.0023796184964365538
2015Q3,HAL,30215377.15,0.002343669427350365
2015Q3,ITW,30132785.59,0.0023372631755545254
2015Q3,VLO,29876431.2,0.002317378931071082
2015Q3,CCL,29494812.9,0.002287778534617734
2015Q3,EBAY,29401320.0,0.0022805267154424663
2015Q3,PX,29180037.92,0.0022633628705848656
2015Q3,VFC,29033040.82,0.00225196097387946
2015Q3,EMR,29025873.8,0.0022514050607238567
2015Q3,BRCM,28852230.0,0.0022379363006521675
2015Q3,AEP,27893241.6,0.002163551930630705
2015Q3,BDX,27892295.64,0.0021634785568144365
2015Q4,AAPL,583612701.62,0.04232997893793835
2015Q4,MSFT,439679000.0,0.03189033199207532
2015Q4,XOM,324501095.05,0.023536370063015268
2015Q4,AMZN,318344190.0,0.023089803940711983
2015Q4,GE,314902794.85,0.02284019630912299
2015Q4,JNJ,284220487.68,0.020614779671225495
2015Q4,WFC,277660714.68,0.020138993157057996
2015Q4,GOOG,261628433.28,0.018976156686732203
2015Q4,JPM,243065013.9,0.01762973439470478
2015Q4,FB,240188420.4,0.01742109235876209
2015Q4,GOOGL,227630943.81,0.016510286754132773
2015Q4,PG,216040701.93,0.015669635594032665
2015Q4,T,211690320.0,0.01535409829513955
2015Q4,PFE,199280676.84,0.014454015188428548
2015Q4,WMT,196276040.9,0.014236086113712855
2015Q4,VZ,188063310.06,0.013640409010532682
2015Q4,KO,186832395.6,0.013551129625382956
2015Q4,BAC,175242038.4,0.012710470101014632
2015Q4,DIS,173715944.24,0.012599781054201918
